track_name,artist_name,released_on,streams,bb_hot_100_peak,sp_top_200_peak,genres,artist_popularity,artist_followers,month_released
I Love You so Much (feat. Chance the Rapper),DJ Khaled,2017-06-20,1302459,39,164,dance pop hip hop miami hip hop pop pop rap r&b rap southern hip hop trap music,79,3887499,6
I Love You so Much (feat. Chance the Rapper),DJ Khaled,2017-06-20,1302459,53,164,dance pop hip hop miami hip hop pop pop rap r&b rap southern hip hop trap music,79,3887499,6
I Might Need Security,Chance the Rapper,2018-07-19,11812261,39,18,chicago rap conscious hip hop hip hop pop pop rap rap,82,4004951,7
I Might Need Security,Chance the Rapper,2018-07-19,11812261,60,18,chicago rap conscious hip hop hip hop pop pop rap rap,82,4004951,7
I Miss You,blink-182,2003-01-01,5548153,39,148,modern rock pop punk punk,81,4936031,1
I Miss You,blink-182,2003-01-01,5548153,92,148,modern rock pop punk punk,81,4936031,1
I Miss You (feat. Julia Michaels),Clean Bandit,2018-11-30,40532155,39,57,dance pop edm pop post-teen pop tropical house uk dance uk funky,83,2682979,11
I Miss You (feat. Julia Michaels),Clean Bandit,2018-11-30,40532155,92,57,dance pop edm pop post-teen pop tropical house uk dance uk funky,83,2682979,11
I Saw Mommy Kissing Santa Claus,The Jackson 5,1970-10-15,1798617,39,200,adult standards christmas motown,72,742572,10
I Thought About Killing You,Kanye West,2018-06-01,14008106,28,8,chicago rap pop rap rap,91,9674775,6
I Thought About Killing You,Kanye West,2018-06-01,14008106,39,8,chicago rap pop rap rap,91,9674775,6
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2016-05-06,17588764,39,102,dance pop pop pop rap,75,831247,5
I Tried Loving,Trippie Redd,2018-11-09,2491034,39,85,rap trap music,86,2947103,11
I Wanna Know (feat. Bea Miller),NOTD,2018-03-16,17450270,39,60,dance pop edm electropop pop pop edm post-teen pop tropical house,75,44896,3
I Was Never There,The Weeknd,2018-03-30,16831941,35,8,canadian contemporary r&b canadian pop pop rap,91,15691944,3
I Was Never There,The Weeknd,2018-03-30,16831941,39,8,canadian contemporary r&b canadian pop pop rap,91,15691944,3
I Won't Back Down,Tom Petty,1989-01-01,1375340,39,172,album rock classic rock folk rock heartland rock mellow gold pop rock rock roots rock singer-songwriter soft rock,72,842316,1
I Would Like,ZAYN,2016-03-25,14990635,39,95,dance pop electropop pop post-teen pop,83,7755413,3
"I don’t even speak spanish lol - feat. Rio Santana, Judah, Carlos Andrez",XXXTENTACION,2018-03-16,15164687,39,27,emo rap miami hip hop,94,12748612,3
I don’t let go,XXXTENTACION,2018-12-07,8714552,39,14,emo rap miami hip hop,94,12748612,12
I'd Be Jealous Too,Dustin Lynch,2017-09-08,1406931,39,196,contemporary country country country road modern country rock,73,1014487,9
I'll Be Home,Meghan Trainor,2014-11-17,1882042,39,185,dance pop hip pop pop post-teen pop r&b,81,7330918,11
I'll Be Home for Christmas,Pentatonix,2017-12-06,1865760,39,188,a cappella,73,2238592,12
I'll Be There,Jess Glynne,2018-05-03,5043376,39,123,dance pop pop post-teen pop tropical house uk pop,82,1517612,5
I'm Not Goin' (feat. Kevin Gates),Gucci Mane,2018-11-15,3458548,39,114,atl hip hop dirty south rap hip hop pop pop rap rap southern hip hop trap music,87,2681378,11
I'm Upset,Drake,2018-06-29,113361641,7,4,canadian hip hop canadian pop hip hop pop rap rap,97,36572149,6
I'm Upset,Drake,2018-06-29,113361641,39,4,canadian hip hop canadian pop hip hop pop rap rap,97,36572149,6
I'm a Mess,Bebe Rexha,2018-06-22,54011690,39,74,dance pop electropop pop post-teen pop,87,3562068,6
I'm so Groovy,Future,2017-06-30,11212178,39,59,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,6
I'm the One,Sam Smith,2014-01-01,33079511,39,3,pop post-teen pop,90,8454479,1
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2017-06-22,187198528,39,2,dance pop hip hop miami hip hop pop pop rap r&b rap southern hip hop trap music,79,3887499,6
